2023-09-10 15:11:16,052 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server version 2.30.0
2023-09-10 15:11:16,184 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2023-09-10 15:11:16,240 INFO  [org.apache.activemq.artemis.core.server] AMQ221013: Using NIO Journal
2023-09-10 15:11:16,303 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1073741824
2023-09-10 15:11:16,343 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2023-09-10 15:11:16,346 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2023-09-10 15:11:16,346 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2023-09-10 15:11:16,350 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2023-09-10 15:11:16,351 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2023-09-10 15:11:16,352 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2023-09-10 15:11:16,416 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
2023-09-10 15:11:16,417 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
2023-09-10 15:11:16,547 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2023-09-10 15:11:16,557 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2023-09-10 15:11:16,609 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2023-09-10 15:11:16,610 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2023-09-10 15:11:17,083 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2023-09-10 15:11:17,115 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2023-09-10 15:11:17,147 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2023-09-10 15:11:17,181 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2023-09-10 15:11:17,209 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2023-09-10 15:11:17,212 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2023-09-10 15:11:17,212 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.30.0 [0.0.0.0, nodeID=2ff0e1e5-4fbe-11ee-b4a5-ac675d335fe0] 
2023-09-10 15:11:17,221 INFO  [org.apache.activemq.artemis] AMQ241003: Starting embedded web server
2023-09-10 15:11:17,573 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
2023-09-10 15:11:17,691 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2023-09-10 15:11:18,189 INFO  [io.hawt.HawtioContextListener] Initialising hawtio services
2023-09-10 15:11:18,196 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
2023-09-10 15:11:18,200 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to Hawtio 2.15.0
2023-09-10 15:11:18,209 INFO  [io.hawt.web.auth.AuthenticationConfiguration] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
2023-09-10 15:11:18,219 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2023-09-10 15:11:18,234 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2023-09-10 15:11:18,244 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/C:/Users/Admin/Documents/GitHub/Java-Messaging/myBroker/etc/\jolokia-access.xml]
2023-09-10 15:11:18,335 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
2023-09-10 15:11:18,335 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/console/jolokia
2023-09-10 15:11:18,337 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://localhost:8161/console
2023-09-10 15:12:13,561 INFO  [io.hawt.web.auth.LoginServlet] Hawtio login is using 1800 sec. HttpSession timeout
2023-09-10 15:12:14,059 INFO  [io.hawt.web.auth.keycloak.KeycloakServlet] Keycloak integration is disabled
2023-09-10 15:12:26,078 INFO  [io.hawt.web.auth.LoginServlet] Logging in user: Test_Admin
